product_name,overall_rating,no_ratings,no_reviews,rating,brand
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,2,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,2,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,4,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,5,hp
hp 250 g9 intel core i3 12th gen intel core i3 1215u - (8 gb/5...,4.2,607,29,1,hp
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
